"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 12 02:30:39 UTC 2023","Tue Dec 12 02:30:50 UTC 2023","11457","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Tue Dec 12 02:37:06 UTC 2023","Tue Dec 12 02:37:12 UTC 2023","6115","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Tue Dec 12 02:42:48 UTC 2023","Tue Dec 12 02:42:52 UTC 2023","3192","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Tue Dec 12 04:07:19 UTC 2023","Tue Dec 12 04:08:15 UTC 2023","56203","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Tue Dec 12 02:30:50 UTC 2023","Tue Dec 12 02:31:18 UTC 2023","27440","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Tue Dec 12 03:37:47 UTC 2023","Tue Dec 12 03:37:50 UTC 2023","2784","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Tue Dec 12 04:07:04 UTC 2023","Tue Dec 12 04:07:09 UTC 2023","5600","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
"passed","Tue Dec 12 02:54:38 UTC 2023","Tue Dec 12 02:54:47 UTC 2023","8998","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Tue Dec 12 03:52:46 UTC 2023","Tue Dec 12 03:53:07 UTC 2023","20598","","21. Forgot password function","","","","2. Reset password",""
"passed","Tue Dec 12 02:53:43 UTC 2023","Tue Dec 12 02:54:00 UTC 2023","16992","","6. Company Account","","","","1. Validate login credentials",""
"passed","Tue Dec 12 02:48:43 UTC 2023","Tue Dec 12 02:48:45 UTC 2023","1855","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Tue Dec 12 04:16:15 UTC 2023","Tue Dec 12 04:16:17 UTC 2023","1887","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Tue Dec 12 04:04:28 UTC 2023","Tue Dec 12 04:04:37 UTC 2023","9022","","22. Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
"passed","Tue Dec 12 02:47:49 UTC 2023","Tue Dec 12 02:48:43 UTC 2023","54199","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Tue Dec 12 04:16:04 UTC 2023","Tue Dec 12 04:16:14 UTC 2023","9662","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Tue Dec 12 02:51:41 UTC 2023","Tue Dec 12 02:51:44 UTC 2023","2413","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Tue Dec 12 02:31:42 UTC 2023","Tue Dec 12 02:31:47 UTC 2023","4351","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Tue Dec 12 03:31:41 UTC 2023","Tue Dec 12 03:31:52 UTC 2023","10223","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
